City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
922,ribeira brava,cv,67.87,broken clouds,16.6167,-24.3,Bela Sombra
923,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
924,hithadhoo,mv,81.52,clear sky,-0.6,73.0833,Scoop Guest House
925,sur,om,77.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
926,san luis,ar,57.16,clear sky,-33.295,-66.3356,Huarpes Hotel
927,manutuke,nz,66.94,broken clouds,-38.6833,177.9167,Jolly Stockman Hotel
928,coquimbo,cl,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
929,huaraz,pe,55.31,light rain,-9.5333,-77.5333,Hotel El Tumi
930,pearl,us,80.78,broken clouds,32.2746,-90.132,Hilton Garden Inn Jackson Pearl
931,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
932,daru,pg,80.47,overcast clouds,-9.0763,143.2092,Daru Lodge
933,sumedang,id,72.95,overcast clouds,-6.8592,107.9207,SPOT ON 2559 Hotel Handayani
934,sitka,us,44.49,overcast clouds,57.0531,-135.33,Westmark Sitka
935,lebu,cl,53.74,clear sky,-37.6167,-73.65,Hostal Las Lilas
937,luau,ao,64.72,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
938,bama,ng,75.4,clear sky,11.5221,13.6856,UN Humanitarian Hub
939,khatanga,ru,-22.02,broken clouds,71.9667,102.5,"""Khatanga"""
940,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
941,aswan,eg,72.63,clear sky,24.0934,32.907,Nuba Nile
942,dingle,ie,47.73,scattered clouds,52.1408,-10.2689,Dingle Benners Hotel
944,aukra,no,28.38,few clouds,62.7925,6.919,Aukra Overnatting AS
945,upernavik,gl,10.2,broken clouds,72.7868,-56.1549,Café de Upernavik
946,fort-shevchenko,kz,45.18,broken clouds,44.5086,50.263,Oasis hotel Bautino
947,makat,kz,38.64,few clouds,47.6469,53.3463,Umit
948,matara,lk,76.98,clear sky,5.9485,80.5353,Amaloh Boutique Resort
949,jamestown,sh,70.95,overcast clouds,-15.9387,-5.7168,Consulate
950,jamestown,sh,70.95,overcast clouds,-15.9387,-5.7168,Consulate
951,chodov,cz,47.57,light rain,50.2402,12.7455,B&B Violet
952,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
953,medina,br,73.63,light rain,-16.2225,-41.4769,Pousada Cristal
954,palmer,us,35.15,few clouds,42.1584,-72.3287,Wedgewood Motel
955,puerto ayora,ec,79.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
956,samarai,pg,83.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
957,olinda,br,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
958,upernavik,gl,10.2,broken clouds,72.7868,-56.1549,Café de Upernavik
959,esperance,au,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
960,castro,cl,51.28,scattered clouds,-42.4721,-73.7732,Hotel Esmeralda
961,atuona,pf,79.45,overcast clouds,-9.8,-139.0333,Villa Enata
963,shunyi,cn,44.55,overcast clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
964,bagli,in,78.91,clear sky,22.65,76.35,Goswami Vila
965,segou,ml,90.61,broken clouds,13.4317,-6.2157,Comme chez soi
967,guerrero negro,mx,65.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
968,upernavik,gl,10.2,broken clouds,72.7868,-56.1549,Café de Upernavik
969,bluff,nz,60.37,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
970,sandpoint,us,62.69,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
971,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
973,nueva concepcion,gt,85.6,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
974,bluff,nz,60.37,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
976,souillac,mu,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
977,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
978,carballo,es,54.55,overcast clouds,43.213,-8.691,Pazo do Souto
979,tarko-sale,ru,29.17,overcast clouds,64.9225,77.785,Yubileynaya
980,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
981,hobart,au,59.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
982,saint-philippe,re,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
983,saint-philippe,re,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
984,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
986,bushehr,ir,64.49,clear sky,28.9684,50.8385,Yas Hotel
987,banjar,id,77.31,overcast clouds,-8.19,114.9675,The Hamsa Resort
988,makakilo city,us,80.35,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
989,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
990,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
